id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,min_hit,days_to_min,max_profit_pct,days_to_max
621,2025-08-06,06:57:47,RTH,10,10-19,315.17,302.63,3.9788050893168827,Bearish,0,,0,,0.19034207667192019,0
622,2025-08-06,13:51:43,AH,240,100-499,319.91,303.29,5.195211153136821,Bearish,0,,0,,1.6598399226296146,10
623,2025-08-06,13:46:04,AH,432,100-499,319.91,305.54,4.491888343596638,Bearish,0,,0,,1.6598399226296146,10
624,2025-08-06,14:13:26,AH,80,50-100,319.91,331.45,3.60726454315275,Bullish,1,2.0,1,2.0,58.82488824982025,98
625,2025-08-06,14:02:36,AH,880,500-999,319.91,333.65,4.29495795692537,Bullish,1,2.0,1,2.0,58.82488824982025,98
626,2025-08-06,14:11:21,AH,100,50-100,319.91,340.54,6.448688693695099,Bullish,1,3.0,1,2.0,58.82488824982025,98
660,2025-08-07,09:24:08,RTH,2,<10,320.62,297.81,7.114340964381512,Bearish,0,,0,,1.877610222844607,9
661,2025-08-07,14:09:58,AH,25,20-49,322.27,301.16,6.550408042945344,Bearish,0,,0,,2.3799900383170502,9
662,2025-08-07,13:55:38,AH,760,500-999,322.27,301.26,6.519378161169204,Bearish,0,,0,,2.3799900383170502,9
663,2025-08-07,13:49:11,AH,30,20-49,322.27,301.92,6.314580941446603,Bearish,0,,0,,2.3799900383170502,9
664,2025-08-07,14:01:17,AH,396,100-499,322.27,302.63,6.094268780835941,Bearish,0,,0,,2.3799900383170502,9
665,2025-08-07,14:27:39,AH,55,50-100,322.27,303.43,5.8460297266267345,Bearish,0,,0,,2.3799900383170502,9
666,2025-08-07,14:20:19,AH,160,100-499,322.27,304.58,5.489186086201011,Bearish,0,,0,,2.3799900383170502,9
667,2025-08-07,06:05:06,PM,1,<10,320.89,308.0,4.016952849886249,Bearish,0,,0,,1.9601713660395654,9
668,2025-08-07,13:57:44,AH,40,20-49,322.27,309.14,4.074223477208551,Bearish,0,,0,,2.3799900383170502,9
669,2025-08-07,13:57:47,AH,60,50-100,322.27,334.4,3.763924659447046,Bullish,1,1.0,1,1.0,57.66180531852174,97
784,2025-08-11,14:47:35,AH,4,<10,339.13,302.97,10.662577772535595,Bearish,0,,1,4.0,7.233212601800008,7
785,2025-08-11,13:51:56,AH,56,50-100,339.13,315.68,6.914752454810837,Bearish,1,7.0,1,4.0,7.233212601800008,7
786,2025-08-11,13:54:29,AH,30,20-49,339.13,315.77,6.888213959248669,Bearish,1,7.0,1,4.0,7.233212601800008,7
787,2025-08-11,14:00:11,AH,28,20-49,339.13,317.41,6.404623595671268,Bearish,1,7.0,1,4.0,7.233212601800008,7
788,2025-08-11,13:58:43,AH,400,100-499,339.13,317.51,6.375136378379974,Bearish,1,7.0,1,4.0,7.233212601800008,7
789,2025-08-11,13:59:25,AH,7744,>=5000,339.13,319.59,5.761802258720851,Bearish,1,7.0,1,4.0,7.233212601800008,7
790,2025-08-11,09:07:27,RTH,52,50-100,344.98,321.5,6.806191663284833,Bearish,1,7.0,1,1.0,8.806305842797958,7
791,2025-08-11,06:05:43,PM,1,<10,335.76,321.54,4.23516797712651,Bearish,1,7.0,1,7.0,6.3021187444854565,7
