date,period,mw_side,trade_side,net_vol,big_count,total_count,time,is_dp,side,hourly_close,daily_close,hit,max_win_pct,days_to_hit,es_start,es_target,late_hit,days_to_late,days_to_max_40d,mue_pre_hit,mue_pre_late,vol_bucket
2025-08-22,RTH,Sell,Buy,900000,0,1,12:55:37.864000,0,Sell,340.010009765625,340.010009765625,0.0,0.040264086236173925,,339.26,322.29699999999997,0,,7,,,500k-1M
2025-08-27,AH,Buy,Sell,536471,0,1,13:40:36,1,Sell,345.0950012207031,345.0950012207031,1.0,0.06864986812495537,2.0,349.6,332.12,0,,3,-0.011298592085150822,,500k-1M
2025-08-27,RTH,Buy,,400000,0,1,12:32:21.150000,0,Sell,349.5,349.5,1.0,0.06995342310972708,3.0,350.09,332.58549999999997,0,,4,-0.00988313803013161,,100k-500k
2025-08-28,AH,Buy,Sell,519973,0,1,13:32:02,1,Sell,339.7091064453125,339.7091064453125,1.0,0.05890512138413895,2.0,345.98,328.681,0,,2,-0.00800597851686689,,500k-1M
2025-08-28,RTH,Buy,Sell,900000,0,1,12:43:50.041000,0,Sell,345.79998779296875,345.79998779296875,1.0,0.061211526962732056,3.0,346.83,329.4885,0,,3,-0.005535589329832024,,500k-1M
2025-08-28,RTH,Buy,Sell,900000,0,1,12:43:50,0,Sell,345.79998779296875,345.79998779296875,1.0,0.061211526962732056,3.0,346.83,329.4885,0,,3,-0.005535589329832024,,500k-1M
2025-09-02,AH,Sell,Buy,975721,0,1,13:39:51,1,Buy,336.0799865722656,336.0799865722656,1.0,0.42928710225892636,3.0,329.36,345.82800000000003,0,,22,-0.0025807330409734442,,500k-1M
2025-09-05,RTH,Buy,Sell,900000,0,1,11:41:18.993000,0,Sell,348.82000732421875,348.82000732421875,0.0,0.01905846697797789,,350.5,332.97499999999997,0,,3,,,500k-1M
2025-09-09,RTH,Buy,Buy,1000000,1,1,12:04:41.123000,0,Sell,347.0400085449219,347.0400085449219,0.0,0.0031110259996578638,,347.15,329.79249999999996,0,,2,,,500k-1M
2025-09-09,RTH,Sell,,400000,0,1,12:53:50.676000,0,Sell,347.0400085449219,347.0400085449219,0.0,0.0012697834861367374,,346.51,329.18449999999996,0,,2,,,100k-500k
2025-09-10,RTH,Sell,Buy,500000,0,1,12:56:19.702000,0,Sell,347.7900085449219,347.7900085449219,0.0,0.0025124500712898237,,348.27,330.8565,0,,1,,,100k-500k
2025-09-12,AH,Sell,Buy,691540,0,1,13:00:19.342000,1,Sell,416.55999755859375,416.55999755859375,0.0,-0.016391662236939313,,395.94,376.143,0,,1,,,500k-1M
2025-09-12,AH,Buy,Buy,806500,0,1,13:07:05.297000,1,Sell,416.55999755859375,416.55999755859375,0.0,-0.016391662236939313,,395.94,376.143,0,,1,,,500k-1M
2025-09-12,AH,Buy,Buy,806500,0,1,13:07:12.945000,1,Sell,416.55999755859375,416.55999755859375,0.0,-0.016391662236939313,,395.94,376.143,0,,1,,,500k-1M
2025-09-12,AH,Buy,Buy,1075460,1,1,13:07:22.462000,1,Sell,416.55999755859375,416.55999755859375,0.0,-0.016391662236939313,,395.94,376.143,0,,1,,,>1M
2025-09-12,AH,Buy,Buy,806499,0,1,13:07:05.200000,0,Sell,416.55999755859375,416.55999755859375,0.0,-0.016391662236939313,,395.94,376.143,0,,1,,,500k-1M
2025-09-12,AH,Buy,Buy,806500,0,1,13:07:12.900000,0,Sell,416.55999755859375,416.55999755859375,0.0,-0.016391662236939313,,395.94,376.143,0,,1,,,500k-1M
2025-09-12,AH,Buy,Buy,1075460,1,1,13:07:22.400000,0,Sell,416.55999755859375,416.55999755859375,0.0,-0.016391662236939313,,395.94,376.143,0,,1,,,>1M
2025-09-12,RTH,Buy,Buy,600000,0,1,09:59:34.236000,0,Sell,393.6000061035156,393.6000061035156,0.0,0.009171556695551973,,394.7,374.965,0,,1,,,500k-1M
2025-09-12,RTH,Buy,Buy,750000,0,1,10:10:50.142000,0,Sell,394.95001220703125,394.95001220703125,0.0,7.630212154104261e-05,,391.91,372.3145,0,,1,,,500k-1M
2025-09-12,RTH,Buy,,450000,0,1,10:30:42.592000,0,Sell,394.95001220703125,394.95001220703125,0.0,0.005380465899627221,,394.0,374.29999999999995,0,,1,,,100k-500k
2025-09-12,RTH,Buy,Buy,1000000,1,1,11:23:24.302000,0,Sell,393.9800109863281,393.9800109863281,0.0,0.0079989458395432,,395.04,375.288,0,,1,,,500k-1M
2025-09-12,RTH,Sell,Buy,2000000,1,1,12:03:14.588000,0,Sell,396.0,396.0,0.0,0.007144422509382097,,394.7,374.965,0,,1,,,>1M
2025-09-12,RTH,Sell,Buy,2000000,1,1,12:14:44.417000,0,Sell,396.0,396.0,0.0,0.008902133445758985,,395.4,375.62999999999994,0,,1,,,>1M
2025-09-12,RTH,Sell,,405000,0,1,12:47:19.073000,0,Sell,396.0,396.0,0.0,0.0041925737922219345,,393.53,373.85349999999994,0,,1,,,100k-500k
2025-09-12,RTH,Buy,Buy,600000,0,1,09:59:34.200000,0,Sell,393.6000061035156,393.6000061035156,0.0,0.009171556695551973,,394.7,374.965,0,,1,,,500k-1M
2025-09-12,RTH,Buy,Buy,750000,0,1,10:10:50.100000,0,Sell,394.95001220703125,394.95001220703125,0.0,7.630212154104261e-05,,391.91,372.3145,0,,1,,,500k-1M
2025-09-12,RTH,Buy,,450004,0,1,10:30:42.500000,0,Sell,394.95001220703125,394.95001220703125,0.0,0.005380465899627221,,394.0,374.29999999999995,0,,1,,,100k-500k
2025-09-12,RTH,Buy,Buy,1000150,1,1,11:23:24.300000,0,Sell,393.9800109863281,393.9800109863281,0.0,0.0079989458395432,,395.04,375.288,0,,1,,,>1M
2025-09-16,AH,Buy,Sell,1164970,1,1,13:50:53,1,Sell,412.6200866699219,412.6200866699219,0.0,0.028343025881755204,,421.62,400.539,1,42.0,1,,-0.12440113686309649,>1M
2025-09-16,AH,Buy,Sell,1164970,1,1,14:00:31,1,Sell,412.6200866699219,412.6200866699219,0.0,0.028343025881755204,,421.62,400.539,1,42.0,1,,-0.12440113686309649,>1M
2025-09-16,AH,Buy,Sell,1164980,1,1,13:50:53,0,Sell,412.6200866699219,412.6200866699219,0.0,0.028343025881755204,,421.62,400.539,1,42.0,1,,-0.12440113686309649,>1M
2025-09-16,RTH,Sell,Buy,550000,0,1,08:16:55.795000,1,Sell,420.1328125,420.1328125,0.0,0.02135636170245727,,418.61,397.6795,1,43.0,2,,-0.13248610239654746,500k-1M
2025-09-16,RTH,Sell,Buy,550000,0,1,08:18:12.385000,1,Sell,420.1328125,420.1328125,0.0,0.0212394556867967,,418.56,397.632,1,43.0,2,,-0.13262138600014037,500k-1M
2025-09-16,RTH,Sell,Buy,774000,0,1,09:10:52.566000,1,Sell,418.77508544921875,418.77508544921875,0.0,0.023665363613597824,,419.6,398.62,1,43.0,2,,-0.12981412613016854,500k-1M
2025-09-16,RTH,Sell,,400000,0,1,10:13:59.075000,1,Sell,418.875,418.875,0.0,0.025129064017955983,,420.23,399.2185,1,43.0,2,,-0.12812033249463087,100k-500k
2025-09-17,PM,Buy,Buy,800000,0,1,06:00:31.068000,1,Sell,412.6200866699219,412.6200866699219,0.0,0.028343025881755204,,421.62,400.539,1,42.0,1,,-0.12440113686309649,500k-1M
2025-09-18,AH,Buy,Buy,816388,0,1,13:34:06.090000,1,Sell,426.7701110839844,426.7701110839844,0.0,0.049010183566105966,,416.85,396.0075,1,41.0,40,,-0.13726761982540175,500k-1M
2025-09-18,AH,Buy,Buy,816388,0,1,13:34:06,0,Sell,426.7701110839844,426.7701110839844,0.0,0.049010183566105966,,416.85,396.0075,1,41.0,40,,-0.13726761982540175,500k-1M
2025-09-19,AH,Sell,Buy,507540,0,1,13:13:05.885000,1,Sell,444.260009765625,444.260009765625,0.0,0.10160302584247452,,426.07,404.76649999999995,1,39.0,40,,-0.11265756172511268,500k-1M
2025-09-19,AH,Buy,Buy,2620599,1,1,13:37:19,1,Sell,444.260009765625,444.260009765625,0.0,0.10160302584247452,,426.07,404.76649999999995,1,39.0,40,,-0.11265756172511268,>1M
2025-09-19,AH,Buy,Buy,2000000,1,1,13:46:39.734000,1,Sell,444.260009765625,444.260009765625,0.0,0.10160302584247452,,426.07,404.76649999999995,1,39.0,40,,-0.11265756172511268,>1M
2025-09-19,AH,Buy,,430300,0,1,14:00:16.502000,1,Sell,444.260009765625,444.260009765625,0.0,0.10160302584247452,,426.07,404.76649999999995,1,39.0,40,,-0.11265756172511268,100k-500k
2025-09-19,PM,Sell,Buy,2723212,1,3,04:40:46,1,Sell,426.7701110839844,426.7701110839844,0.0,0.049010183566105966,,416.85,396.0075,1,41.0,40,,-0.13726761982540175,>1M
2025-09-19,RTH,Sell,,400000,0,1,08:36:01.335000,1,Sell,422.7455139160156,422.7455139160156,0.0,0.06434076430214138,,423.68,402.496,1,40.0,40,,-0.11893411849560692,100k-500k
2025-09-19,RTH,Sell,Buy,700000,0,1,08:42:18.185000,0,Sell,422.7455139160156,422.7455139160156,0.0,0.06548772989045554,,424.2,402.98999999999995,1,40.0,40,,-0.1175624877987241,500k-1M
2025-09-19,RTH,Buy,,450000,0,1,09:08:14.349000,1,Sell,423.53729248046875,423.53729248046875,0.0,0.06645604516656753,,424.64,403.40799999999996,1,40.0,40,,-0.11640450104610674,100k-500k
2025-09-19,RTH,Sell,,400000,0,1,08:36:01.335000,1,Sell,422.7455139160156,422.7455139160156,0.0,0.0643186796788332,,423.67,402.4865,1,40.0,40,,-0.11896052900658233,100k-500k
2025-09-22,AH,Sell,Sell,637927,0,1,13:32:15.906000,1,Sell,433.489990234375,433.489990234375,1.0,0.11844499486585548,14.0,434.21,412.49949999999995,0,,39,-0.08415282927615675,,500k-1M
2025-09-23,AH,Sell,,410000,0,1,13:00:31.197000,1,Sell,440.4544982910156,440.4544982910156,0.0,0.10113890153975143,,425.85,404.5575,1,37.0,38,,-0.11323237601084589,100k-500k
2025-09-23,AH,Sell,,462857,0,1,13:19:00.774000,1,Sell,440.4544982910156,440.4544982910156,0.0,0.10113890153975143,,425.85,404.5575,1,37.0,38,,-0.11323237601084589,100k-500k
2025-09-23,AH,Sell,,431960,0,1,14:07:59.338000,1,Sell,440.4544982910156,440.4544982910156,0.0,0.10113890153975143,,425.85,404.5575,1,37.0,38,,-0.11323237601084589,100k-500k
2025-09-24,AH,Buy,Sell,705759,0,1,13:53:45.959000,1,Sell,429.159912109375,429.159912109375,1.0,0.13552700201157014,1.0,442.79,420.6505,0,,37,0.023916501711801916,,500k-1M
2025-09-24,AH,Buy,Sell,705759,0,1,13:53:45.900000,0,Sell,429.159912109375,429.159912109375,1.0,0.13552700201157014,1.0,442.79,420.6505,0,,37,0.023916501711801916,,500k-1M
